stn,wban,year,mo,da,temp,count_temp,dewp,count_dewp,slp,count_slp,stp,count_stp,visib,count_visib,wdsp,count_wdsp,mxpsd,gust,max,flag_max,min,flag_min,prcp,flag_prcp,sndp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud
010360,99999,2017,05,21,36.0,24,9999.9,0,9999.9,0,9999.9,0,999.9,0,5.0,24,7.8,999.9,40.3,,32.9,,0.0,G,29.9,0,0,0,0,0,0
010300,99999,2017,01,17,23.7,21,9999.9,0,9999.9,0,9999.9,0,999.9,0,33.4,21,43.3,62.2,25.9,,19.9,,0.0,I,999.9,0,0,0,0,0,0
010300,99999,2017,02,19,14.5,13,9999.9,0,9999.9,0,9999.9,0,999.9,0,9.7,13,18.5,29.1,16.0,,13.3,,0.0,I,999.9,0,0,0,0,0,0
010300,99999,2017,08,26,33.3,24,9999.9,0,9999.9,0,9999.9,0,999.9,0,18.7,24,36.3,53.4,35.1,,31.3,,0.0,I,999.9,0,0,0,0,0,0
010300,99999,2017,11,26,24.5,7,9999.9,0,9999.9,0,9999.9,0,999.9,0,999.9,0,999.9,999.9,25.9,,23.5,,0.0,I,999.9,0,0,0,0,0,0
010360,99999,2017,01,30,22.0,24,9999.9,0,9999.9,0,9999.9,0,999.9,0,7.7,24,17.5,19.0,30.2,*,14.7,*,0.02,G,16.5,0,0,0,0,0,0
010300,99999,2017,05,06,31.1,8,9999.9,0,9999.9,0,9999.9,0,999.9,0,17.1,8,25.3,34.8,31.3,,30.6,,0.0,I,999.9,0,0,0,0,0,0
010360,99999,2017,03,26,25.6,24,9999.9,0,9999.9,0,9999.9,0,999.9,0,17.4,24,33.6,52.3,32.9,,22.3,,0.0,G,999.9,0,0,0,0,0,0
010360,99999,2017,07,04,37.1,24,9999.9,0,9999.9,0,9999.9,0,999.9,0,4.6,24,7.8,10.3,41.7,,32.5,,0.67,G,999.9,0,0,0,0,0,0
010360,99999,2017,08,04,51.3,24,9999.9,0,9999.9,0,9999.9,0,999.9,0,3.6,22,7.8,999.9,57.0,,45.9,,0.0,G,999.9,0,0,0,0,0,0
010300,99999,2017,04,25,25.5,7,9999.9,0,9999.9,0,9999.9,0,999.9,0,4.3,7,6.2,10.3,27.9,,23.9,,0.0,I,999.9,0,0,0,0,0,0
010350,99999,2017,02,08,13.0,4,9999.9,0,9999.9,0,9999.9,0,999.9,0,999.9,0,999.9,999.9,17.8,,11.3,,0.0,I,56.3,0,0,0,0,0,0
010350,99999,2017,04,04,37.8,23,9999.9,0,9999.9,0,9999.9,0,999.9,0,999.9,0,999.9,999.9,41.9,,32.2,*,0.0,I,107.9,0,0,0,0,0,0
010350,99999,2017,09,24,46.4,24,9999.9,0,9999.9,0,9999.9,0,999.9,0,999.9,0,999.9,999.9,53.8,,40.5,,0.0,I,999.9,0,0,0,0,0,0
010350,99999,2017,06,11,45.6,24,9999.9,0,9999.9,0,9999.9,0,999.9,0,999.9,0,999.9,999.9,53.6,,36.5,,0.0,I,999.9,0,0,0,0,0,0
010300,99999,2017,11,29,16.2,22,9999.9,0,9999.9,0,9999.9,0,999.9,0,999.9,0,999.9,999.9,16.9,,14.5,,0.0,I,999.9,0,0,0,0,0,0
010350,99999,2017,11,03,35.7,16,9999.9,0,9999.9,0,9999.9,0,999.9,0,999.9,0,999.9,999.9,39.9,,26.8,,0.0,I,16.1,0,0,0,0,0,0
010350,99999,2017,06,29,41.6,24,9999.9,0,9999.9,0,9999.9,0,999.9,0,999.9,0,999.9,999.9,52.0,,34.3,*,0.0,I,999.9,0,0,0,0,0,0
010360,99999,2017,06,11,45.4,24,9999.9,0,9999.9,0,9999.9,0,999.9,0,6.0,18,9.7,13.4,50.7,,39.9,,0.0,G,2.8,0,0,0,0,0,0
010360,99999,2017,02,15,30.0,24,9999.9,0,9999.9,0,9999.9,0,999.9,0,11.5,24,17.5,999.9,32.4,,24.3,,0.0,G,16.1,0,0,0,0,0,0
010350,99999,2017,08,31,43.1,24,9999.9,0,9999.9,0,9999.9,0,999.9,0,999.9,0,999.9,999.9,46.2,*,38.8,*,0.0,I,999.9,0,0,0,0,0,0
010350,99999,2017,10,21,32.7,19,9999.9,0,9999.9,0,9999.9,0,999.9,0,999.9,0,999.9,999.9,34.2,,24.4,,0.0,I,5.1,0,0,0,0,0,0
010360,99999,2017,05,26,25.6,24,9999.9,0,9999.9,0,9999.9,0,999.9,0,6.4,24,11.7,14.8,29.1,,22.8,,0.02,G,28.0,0,0,0,0,0,0
010300,99999,2017,01,28,29.8,17,9999.9,0,9999.9,0,9999.9,0,999.9,0,22.7,17,32.1,48.4,30.7,*,28.8,,0.0,I,999.9,0,0,0,0,0,0
010350,99999,2017,02,04,34.5,12,9999.9,0,9999.9,0,9999.9,0,999.9,0,999.9,0,999.9,999.9,38.5,,17.1,,0.0,I,57.1,0,0,0,0,0,0
010300,99999,2017,05,03,27.4,11,9999.9,0,9999.9,0,9999.9,0,999.9,0,15.0,11,21.6,28.4,27.7,,27.0,,0.0,I,999.9,0,0,0,0,0,0
010360,99999,2017,04,11,19.0,24,9999.9,0,9999.9,0,9999.9,0,999.9,0,5.4,24,11.7,999.9,22.1,,16.9,,0.01,G,28.3,0,0,0,0,0,0
010350,99999,2017,10,22,29.1,16,9999.9,0,9999.9,0,9999.9,0,999.9,0,999.9,0,999.9,999.9,33.1,,21.7,,0.0,I,4.3,0,0,0,0,0,0
010350,99999,2017,06,08,49.7,24,9999.9,0,9999.9,0,9999.9,0,999.9,0,999.9,0,999.9,999.9,56.1,,44.2,,0.0,I,999.9,0,0,0,0,0,0
010300,99999,2017,04,11,25.7,14,9999.9,0,9999.9,0,9999.9,0,999.9,0,6.3,14,7.8,11.7,26.2,,25.0,*,0.0,I,999.9,0,0,0,0,0,0
010360,99999,2017,01,21,18.0,24,9999.9,0,9999.9,0,9999.9,0,999.9,0,3.7,17,5.8,999.9,19.9,*,14.9,,0.0,G,999.9,0,0,0,0,0,0
010360,99999,2017,03,01,15.3,24,9999.9,0,9999.9,0,9999.9,0,999.9,0,12.3,24,15.5,21.4,18.5,,9.9,,0.0,E,999.9,0,0,0,0,0,0
010300,99999,2017,04,20,24.9,7,9999.9,0,9999.9,0,9999.9,0,999.9,0,17.9,7,33.0,38.7,26.6,,23.0,,0.0,I,999.9,0,0,0,0,0,0
010300,99999,2017,09,23,41.9,24,9999.9,0,9999.9,0,9999.9,0,999.9,0,11.5,24,17.3,23.3,45.1,,40.1,,0.0,I,999.9,0,0,0,0,0,0
010350,99999,2017,06,14,46.6,24,9999.9,0,9999.9,0,9999.9,0,999.9,0,999.9,0,999.9,999.9,51.6,,42.8,,0.0,I,999.9,0,0,0,0,0,0
010300,99999,2017,10,12,30.0,24,9999.9,0,9999.9,0,9999.9,0,999.9,0,15.7,24,29.1,47.4,33.1,,27.9,,0.0,I,999.9,0,0,0,0,0,0
010300,99999,2017,09,12,42.8,24,9999.9,0,9999.9,0,9999.9,0,999.9,0,23.9,24,31.1,41.2,45.3,,39.6,,0.0,I,999.9,0,0,0,0,0,0
010360,99999,2017,02,24,16.4,24,9999.9,0,9999.9,0,9999.9,0,999.9,0,9.0,24,25.3,999.9,19.8,,13.3,*,0.09,G,26.0,0,0,0,0,0,0
010300,99999,2017,11,12,23.3,7,9999.9,0,9999.9,0,9999.9,0,999.9,0,4.7,7,7.8,9.7,26.4,,20.3,,0.0,I,999.9,0,0,0,0,0,0
010350,99999,2017,08,24,39.2,24,9999.9,0,9999.9,0,9999.9,0,999.9,0,999.9,0,999.9,999.9,40.6,,37.9,*,0.0,I,999.9,0,0,0,0,0,0
010300,99999,2017,11,23,8.9,15,9999.9,0,9999.9,0,9999.9,0,999.9,0,33.2,13,47.6,77.3,10.8,,7.7,,0.0,I,999.9,0,0,0,0,0,0
010350,99999,2017,09,29,46.7,22,9999.9,0,9999.9,0,9999.9,0,999.9,0,999.9,0,999.9,999.9,55.2,,42.6,,0.0,I,999.9,0,0,0,0,0,0
010350,99999,2017,09,02,41.1,24,9999.9,0,9999.9,0,9999.9,0,999.9,0,999.9,0,999.9,999.9,45.7,,33.6,,0.0,I,999.9,0,0,0,0,0,0
010300,99999,2017,08,10,45.0,24,9999.9,0,9999.9,0,9999.9,0,999.9,0,11.6,24,23.9,31.9,49.1,,40.8,,0.0,I,999.9,0,0,0,0,0,0
010360,99999,2017,11,10,30.1,24,9999.9,0,9999.9,0,9999.9,0,999.9,0,7.5,24,13.6,999.9,32.5,*,26.8,,0.03,G,0.8,0,0,0,0,0,0
010360,99999,2017,10,05,37.9,24,9999.9,0,9999.9,0,9999.9,0,999.9,0,4.5,21,11.7,999.9,42.3,,35.6,,0.0,G,999.9,0,0,0,0,0,0
010360,99999,2017,07,18,41.0,14,9999.9,0,9999.9,0,9999.9,0,999.9,0,6.7,14,9.5,15.2,42.3,,40.1,*,0.79,G,999.9,0,0,0,0,0,0
010300,99999,2017,12,23,16.7,12,9999.9,0,9999.9,0,9999.9,0,999.9,0,999.9,0,999.9,999.9,19.6,,14.4,,0.0,I,999.9,0,0,0,0,0,0
010300,99999,2017,12,02,21.0,17,9999.9,0,9999.9,0,9999.9,0,999.9,0,999.9,0,999.9,999.9,26.6,,18.9,,0.0,I,999.9,0,0,0,0,0,0
010300,99999,2017,08,07,44.0,24,9999.9,0,9999.9,0,9999.9,0,999.9,0,3.5,24,7.8,15.9,47.7,,42.1,,0.0,I,999.9,0,0,0,0,0,0
010360,99999,2017,08,24,38.9,24,9999.9,0,9999.9,0,9999.9,0,999.9,0,5.9,24,10.3,12.6,43.0,,35.2,,0.04,G,999.9,0,0,0,0,0,0
010360,99999,2017,11,07,28.5,24,9999.9,0,9999.9,0,9999.9,0,999.9,0,8.3,23,15.5,999.9,30.4,*,25.9,*,0.18,G,1.2,0,0,0,0,0,0
010360,99999,2017,02,23,13.1,24,9999.9,0,9999.9,0,9999.9,0,999.9,0,2.3,20,3.9,999.9,16.7,*,8.4,,0.0,G,20.5,0,0,0,0,0,0
010360,99999,2017,05,14,24.4,24,9999.9,0,9999.9,0,9999.9,0,999.9,0,9.3,24,13.6,15.2,28.6,,18.9,,0.0,E,999.9,0,0,0,0,0,0
010360,99999,2017,10,31,22.0,21,9999.9,0,9999.9,0,9999.9,0,999.9,0,2.5,13,5.8,999.9,24.1,,20.7,,0.12,G,999.9,0,0,0,0,0,0
010350,99999,2017,11,01,31.4,10,9999.9,0,9999.9,0,9999.9,0,999.9,0,999.9,0,999.9,999.9,39.4,*,12.6,,0.0,I,18.1,0,0,0,0,0,0
010350,99999,2017,09,14,41.1,24,9999.9,0,9999.9,0,9999.9,0,999.9,0,999.9,0,999.9,999.9,44.1,,37.2,*,0.0,I,999.9,0,0,0,0,0,0
010350,99999,2017,03,20,22.4,10,9999.9,0,9999.9,0,9999.9,0,999.9,0,999.9,0,999.9,999.9,26.2,,10.4,,0.0,I,999.9,0,0,0,0,0,0
010300,99999,2017,08,21,33.5,19,9999.9,0,9999.9,0,9999.9,0,999.9,0,16.1,19,25.3,32.6,39.9,,31.6,,0.0,I,999.9,0,0,0,0,0,0
010350,99999,2017,08,30,46.9,24,9999.9,0,9999.9,0,9999.9,0,999.9,0,999.9,0,999.9,999.9,50.4,,42.4,,0.0,I,999.9,0,0,0,0,0,0
010350,99999,2017,06,30,43.8,22,9999.9,0,9999.9,0,9999.9,0,999.9,0,999.9,0,999.9,999.9,55.4,,34.3,,0.0,I,999.9,0,0,0,0,0,0
010350,99999,2017,01,06,32.8,11,9999.9,0,9999.9,0,9999.9,0,999.9,0,999.9,0,999.9,999.9,36.5,,21.6,,0.0,I,39.8,0,0,0,0,0,0
010360,99999,2017,03,03,18.9,24,9999.9,0,9999.9,0,9999.9,0,999.9,0,3.9,21,7.8,999.9,20.1,,16.5,,0.02,G,22.0,0,0,0,0,0,0
010350,99999,2017,05,15,34.2,11,9999.9,0,9999.9,0,9999.9,0,999.9,0,999.9,0,999.9,999.9,41.9,,14.5,,0.0,I,999.9,0,0,0,0,0,0
010350,99999,2017,09,18,40.3,22,9999.9,0,9999.9,0,9999.9,0,999.9,0,999.9,0,999.9,999.9,45.1,,35.4,*,0.0,I,999.9,0,0,0,0,0,0
010300,99999,2017,04,21,26.1,8,9999.9,0,9999.9,0,9999.9,0,999.9,0,11.6,8,17.5,29.1,29.3,,23.5,,0.0,I,999.9,0,0,0,0,0,0
010350,99999,2017,01,31,21.2,5,9999.9,0,9999.9,0,9999.9,0,999.9,0,999.9,0,999.9,999.9,27.3,,11.3,,0.0,I,60.2,0,0,0,0,0,0
010300,99999,2017,04,27,26.6,5,9999.9,0,9999.9,0,9999.9,0,999.9,0,6.1,5,7.8,11.3,29.1,,24.8,,0.0,I,999.9,0,0,0,0,0,0
010360,99999,2017,05,03,27.5,24,9999.9,0,9999.9,0,9999.9,0,999.9,0,7.9,24,11.7,999.9,30.7,,25.5,,0.01,G,999.9,0,0,0,0,0,0
010360,99999,2017,06,06,39.3,24,9999.9,0,9999.9,0,9999.9,0,999.9,0,10.7,24,17.5,21.6,44.6,,32.9,,0.14,G,27.2,0,0,0,0,0,0
010350,99999,2017,10,18,32.0,21,9999.9,0,9999.9,0,9999.9,0,999.9,0,999.9,0,999.9,999.9,33.8,,26.1,,0.0,I,2.8,0,0,0,0,0,0
010300,99999,2017,12,27,12.1,10,9999.9,0,9999.9,0,9999.9,0,999.9,0,999.9,0,999.9,999.9,13.8,,10.0,,0.0,I,999.9,0,0,0,0,0,0
010300,99999,2017,11,10,24.9,5,9999.9,0,9999.9,0,9999.9,0,999.9,0,16.1,5,19.4,22.0,27.3,*,22.1,,0.0,I,999.9,0,0,0,0,0,0
010360,99999,2017,04,06,22.6,24,9999.9,0,9999.9,0,9999.9,0,999.9,0,6.5,22,13.6,999.9,27.3,,19.2,*,0.07,G,30.3,0,0,0,0,0,0
010300,99999,2017,06,12,44.7,15,9999.9,0,9999.9,0,9999.9,0,999.9,0,5.0,15,11.3,25.6,48.6,,41.4,*,0.0,I,999.9,0,0,0,0,0,0
010300,99999,2017,09,09,35.6,24,9999.9,0,9999.9,0,9999.9,0,999.9,0,28.9,24,40.8,73.4,38.7,,33.6,,0.0,I,999.9,0,0,0,0,0,0
010300,99999,2017,02,03,24.4,23,9999.9,0,9999.9,0,9999.9,0,999.9,0,5.0,23,9.5,22.9,25.3,*,23.2,,0.0,I,999.9,0,0,0,0,0,0
010360,99999,2017,02,18,16.6,24,9999.9,0,9999.9,0,9999.9,0,999.9,0,6.5,24,11.7,16.7,20.7,,12.0,*,0.04,G,19.3,0,0,0,0,0,0
010300,99999,2017,06,16,38.3,24,9999.9,0,9999.9,0,9999.9,0,999.9,0,7.6,24,21.8,33.8,40.3,,36.1,,0.0,I,999.9,0,0,0,0,0,0
010300,99999,2017,11,03,28.7,23,9999.9,0,9999.9,0,9999.9,0,999.9,0,26.5,23,35.0,51.9,32.0,*,21.4,,0.0,I,999.9,0,0,0,0,0,0
010360,99999,2017,10,08,36.0,24,9999.9,0,9999.9,0,9999.9,0,999.9,0,2.3,24,5.1,999.9,39.0,,32.5,,0.01,E,999.9,0,0,0,0,0,0
010360,99999,2017,06,10,53.8,24,9999.9,0,9999.9,0,9999.9,0,999.9,0,3.4,20,9.7,11.1,61.0,,44.4,*,0.0,G,5.5,0,0,0,0,0,0
010350,99999,2017,07,08,44.7,24,9999.9,0,9999.9,0,9999.9,0,999.9,0,999.9,0,999.9,999.9,52.5,,33.6,,0.0,I,47.2,0,0,0,0,0,0
010350,99999,2017,08,07,48.4,24,9999.9,0,9999.9,0,9999.9,0,999.9,0,999.9,0,999.9,999.9,52.3,,45.7,*,0.0,I,999.9,0,0,0,0,0,0
010360,99999,2017,01,12,20.8,24,9999.9,0,9999.9,0,9999.9,0,999.9,0,15.8,24,19.4,25.3,26.8,,15.3,*,0.0,G,16.9,0,0,0,0,0,0
010350,99999,2017,09,15,35.6,24,9999.9,0,9999.9,0,9999.9,0,999.9,0,999.9,0,999.9,999.9,37.4,*,33.8,*,0.0,I,0.8,0,0,0,0,0,0
010350,99999,2017,06,25,42.0,24,9999.9,0,9999.9,0,9999.9,0,999.9,0,999.9,0,999.9,999.9,49.6,,38.5,,0.0,I,999.9,0,0,0,0,0,0
010350,99999,2017,07,02,52.0,24,9999.9,0,9999.9,0,9999.9,0,999.9,0,999.9,0,999.9,999.9,64.0,,43.5,*,0.0,I,999.9,0,0,0,0,0,0
010350,99999,2017,08,15,41.2,20,9999.9,0,9999.9,0,9999.9,0,999.9,0,999.9,0,999.9,999.9,43.2,*,37.0,*,0.0,I,999.9,0,0,0,0,0,0
010300,99999,2017,07,08,42.0,24,9999.9,0,9999.9,0,9999.9,0,999.9,0,8.1,24,14.2,19.2,47.7,,33.4,,0.0,I,999.9,0,0,0,0,0,0
010350,99999,2017,06,20,40.9,24,9999.9,0,9999.9,0,9999.9,0,999.9,0,999.9,0,999.9,999.9,45.9,,37.6,,0.0,I,999.9,0,0,0,0,0,0
010350,99999,2017,09,01,37.4,24,9999.9,0,9999.9,0,9999.9,0,999.9,0,999.9,0,999.9,999.9,41.2,,35.8,*,0.0,I,999.9,0,0,0,0,0,0
010360,99999,2017,01,27,36.4,24,9999.9,0,9999.9,0,9999.9,0,999.9,0,15.5,24,23.3,999.9,38.8,,30.6,,0.41,G,17.7,0,0,0,0,0,0
010300,99999,2017,06,28,33.1,23,9999.9,0,9999.9,0,9999.9,0,999.9,0,10.3,23,14.6,22.1,35.6,,30.6,,0.0,I,999.9,0,0,0,0,0,0
010350,99999,2017,01,17,31.8,7,9999.9,0,9999.9,0,9999.9,0,999.9,0,999.9,0,999.9,999.9,33.6,*,26.6,*,0.0,I,49.2,0,0,0,0,0,0
010350,99999,2017,02,05,28.0,4,9999.9,0,9999.9,0,9999.9,0,999.9,0,999.9,0,999.9,999.9,33.8,*,19.0,*,0.0,I,58.7,0,0,0,0,0,0
